Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,2/15/1940,Alma Mía,Vals,Roberto Rufino,Víctor,78rpm,Diego Centeno,Héctor Marcó,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,2/15/1940,La Trilla,Tango,Instrumental,Víctor,78rpm,Eduardo Arolas,,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,4/17/1940,El Opio,Tango,Instrumental,Víctor,78rpm,Francisco Canaro,,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,4/17/1940,Milonga Del Centenario,Milonga,Antonio Lesende,Víctor,78rpm,Carlos Di Sarli,Carlos Moreno,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,6/19/1940,Cosas Olvidadas,Tango,Roberto Rufino,Víctor,78rpm,Antonio Rodio,José Contursi,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,6/19/1940,El Incendio,Tango,Instrumental,Víctor,78rpm,Arturo De Bassi,,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,7/4/1940,Milonguero Viejo,Tango,Instrumental,Víctor,78rpm,Carlos Di Sarli,Enrique Sotelo,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,7/4/1940,Racing Club,Tango,Instrumental,Víctor,78rpm,Vicente Greco,Ernesto Temes,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,8/5/1940,Ausencia,Vals,Agustín Volpe,Víctor,78rpm,Carlos Gardel; José Razzano,Francisco Bianco,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,8/5/1940,El Jaguar,Tango,Instrumental,Víctor,78rpm,Atilio Lombardo,,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,9/23/1940,El Pollo Ricardo,Tango,Instrumental,Víctor,78rpm,Luis Fernández,,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,9/23/1940,En Un Beso La Vida,Tango,Roberto Rufino,Víctor,78rpm,Carlos Di Sarli,Héctor Marcó,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,10/8/1940,Shusheta,Tango,Instrumental,Víctor,78rpm,Juan Cobián,Enrique Cadícamo,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,10/8/1940,Volver A Soñar,Tango,Roberto Rufino,Víctor,78rpm,Andrés Fraga,Francisco Jiménez,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,11/23/1940,Lo Pasado Pasó,Tango,Roberto Rufino,Víctor,78rpm,Miguel Bucino,Miguel Bucino,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,11/23/1940,Nobleza De Arrabal,Tango,Instrumental,Víctor,78rpm,Francisco Canaro,,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,12/11/1940,Rosamel,Vals,Roberto Rufino,Víctor,78rpm,Carlos Di Sarli,Héctor Marcó,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,12/11/1940,Viviani,Tango,Instrumental,Víctor,78rpm,Roberto Firpo,,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,2/18/1941,Charlemos,Tango,Roberto Rufino,Víctor,78rpm,Luis Rubistein,Luis Rubistein,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,2/18/1941,Pena Mulata,Milonga,Roberto Rufino,Víctor,78rpm,Sebastián Piana,Homero Manzi,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,3/6/1941,Cortando Camino,Vals,Roberto Rufino,Víctor,78rpm,Fausto Frontera,Enrique Cadícamo,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,3/6/1941,La Cachila,Tango,Instrumental,Víctor,78rpm,Eduardo Arolas,Héctor Polito,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,4/18/1941,El Estagiario,Tango,Instrumental,Víctor,78rpm,Martín Álvarez,Martín Álvarez,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,4/18/1941,Mi Refugio,Tango,Instrumental,Víctor,78rpm,Juan Cobián,Pedro Córdoba,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,5/20/1941,Bien Frappé,Tango,Roberto Rufino,Víctor,78rpm,Carlos Di Sarli,Héctor Marcó,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,5/20/1941,Marianito,Tango,Instrumental,Víctor,78rpm,Domingo Salerno,,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,6/6/1941,Cascabelito,Tango,Roberto Rufino,Víctor,78rpm,José Bohr,Juan Caruso,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
