Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Medium,Composer, Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/15/1941,Será Lo Mejor,Tango,Jorge Ortiz,Odeon,78rpm,Alfredo David,Alfredo David,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/26/1941,Zaraza,Tango,Jorge Ortiz,Odeon,78rpm,Benjamín Lara,Benjamín Lara,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/26/1941,Lágrimas Y Sonrisas,Vals,Instrumental,Odeon,78rpm,Pascual Gullo,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/26/1941,La Marcha Nupcial,Tango,Jorge Ortiz,Odeon,78rpm,Armando Tagini,Venancio Clauso,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/26/1941,Romántico Bulincito,Tango,Jorge Ortiz,Odeon,78rpm,Augusto Gentile,Enrique Dizeo,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/29/1941,Ya Lo Ves,Tango,Jorge Ortiz,Odeon,78rpm,Juan D'Arienzo,Luis Rubistein,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/29/1941,Cuatro Palabras,Vals,Jorge Ortiz,Odeon,78rpm,Miguel Bucino,Miguel Bucino,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/26/1941,Carrillón De La Merced,Tango,Jorge Ortiz,Odeon,78rpm,Enrique Discépolo,Enrique Discépolo; Alfredo Pera,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/26/1941,Ahora No Me Conocés,Tango,Jorge Ortiz,Odeon,78rpm,Armando Baliotti,Carlos Giampé,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/7/1941,Quejas De Bandoneón,Tango,Instrumental,Odeon,78rpm,Juan Filiberto,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
