 Bandleader , Orchestra , Date , Title , Genre , Singer , Label , Master , Composer , Author , Arranger , Grouping ,Pianist,Bassist,Bandoneons,Strings
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Atavismo,Tango,Instrumental,Odeon,Acoustic,Fausto Frontera,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Ave Negra,Tango,Instrumental,Odeon,Acoustic,Bernardo Germino,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Ave Sin Rumbo,Tango,Instrumental,Odeon,Acoustic,Carlos Gardel; José Razzano,Carlos Gardel; José Razzano,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Bailarina,Tango,Instrumental,Odeon,Acoustic,Juan Baüer,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Bésame En La Boca,Tango,Instrumental,Odeon,Acoustic,José Rizzuti,Eduardo Calvo,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Besos Falsos,Tango,Instrumental,Odeon,Acoustic,José Rizzuti,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Buena Mano,Tango,Instrumental,Odeon,Acoustic,Francisco Russo,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Buena Yunta,Tango,Instrumental,Odeon,Acoustic,Nerón Ferrazzano,Luis Rubistein,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Cachita,Tango,Instrumental,Odeon,Acoustic,Roque Sillitti,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Caferata,Tango,Instrumental,Odeon,Acoustic,Antonio Scatasso,Pascual Contursi,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Cariños,Tango,Instrumental,Odeon,Acoustic,José Gagliardi,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Chelita,Tango,Instrumental,Odeon,Acoustic,C. Cido,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Clavelito Rojo,Tango,Instrumental,Odeon,Acoustic,Manuel Jovés,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Como Quiera,Tango,Instrumental,Odeon,Acoustic,Justo Trivelli,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Corazón Ciego,Tango,Instrumental,Odeon,Acoustic,Luis Minervini,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
 Osvaldo Fresedo , Orquesta Típica Fresedo ,"1,926.00", Pensalo Bien , Tango , Instrumental , Odeon , Acoustic , Carlos Sánchez , Emilio Fresedo ,, 17-26 / Acoustic , José María Rizzuti , Humberto Costanzo ," Osvaldo Fresedo, Alberto Rodríguez "," Adolfo Muzzi, Jean Koller "
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,De Moda,Tango,Instrumental,Odeon,Acoustic,Luis d’Abraccio,Ricardo Brignolo,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,De Primer Agua,Tango,Instrumental,Odeon,Acoustic,José Rizzuti,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Declaración,Tango,Instrumental,Odeon,Acoustic,Roque Biafore,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Despedida,Tango,Instrumental,Odeon,Acoustic,Alfonso Lacueva,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Don Remigio,Tango,Instrumental,Odeon,Acoustic,Eduardo Wiurnos,Richard Bahamonde Vignoli,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Doradillo,Tango,Instrumental,Odeon,Acoustic,Luis Petrucelli,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,"Eche Mas Caña, Patrón!",Tango,Instrumental,Odeon,Acoustic,Juan Rodríguez,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,El Chistoso,Tango,Instrumental,Odeon,Acoustic,P. Montarulli,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,El Ciruja,Tango,Instrumental,Odeon,Acoustic,Ernesto de la Cruz,Francisco Marino,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez, Luis Minervini","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,El Desierto Blanco,Tango,Instrumental,Odeon,Acoustic,Osvaldo Fresedo,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez, Luis Minervini","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,El Gauchito,Tango,Instrumental,Odeon,Acoustic,G. Mercado,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
