Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Alfredo De Angelis,Orquesta Alfredo De Angelis,8/28/1974,Giusepe el zapatero ,Tango,Carlos Gardel,Odeón,Tape-S,Guillermo Ciancio,Guillermo Del Ciancio,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,8/28/1974,Rosas de abril,Vals,Carlos Gardel,Odeón,Tape-S,Rafael Rossi,Eugenio Cárdenas,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,8/29/1974,Íntimas,Tango,Carlos Gardel,Odeón,Tape-S,Alfonso Lacueva,Ricardo Luis Brignolo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/4/1974,Tomo y obligo,Tango,Carlos Gardel,Odeón,Tape-S,Carlos Gardel,Manuel Romero,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/4/1974,Viejo smoking,Tango,Carlos Gardel,Odeón,Tape-S,Guillermo Barbieri,Celedonio Esteban Flores,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/6/1974,Si soy así!...,Tango,Carlos Gardel,Odeón,Tape-S,Francisco Lomuto,Antonio Botta,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/6/1974,Viejo jardín,Vals,Carlos Gardel,Odeón,Tape-S,Francisco Ceraso,Virgilio San Clemente,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/13/1974,Chorra,Tango,Carlos Gardel,Odeón,Tape-S,Enrique Discépolo,Enrique Santos Discépolo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/13/1974,Cualquier cosa,Tango,Carlos Gardel,Odeón,Tape-S,Herminia Rossano; Juan Velich,Herminia Adela Velich de Rossano; Juan Miguel Velich,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/17/1976,Cornetín,Tango,Instrumental,Odeón,Tape-S,Pedro Maffia,Homero Manzi; Cátulo Castillo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/17/1976,Lunes,Tango,Isabel De Angelis,Odeón,Tape-S,José Padula,Francisco García Jiménez,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/17/1976,Se dice de mí,Milonga,Isabel De Angelis,Odeón,Tape-S,Francisco Canaro,Ivo Pelay,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
