Bandleader,Orchestra,,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Edgardo Donato,Edgardo Donato y sus Muchachos,11/23/1931,Milonga Querida,Tango,Teófilo Ibáñez,Brunswick,78rpm,Eduardo Pereyra,Eduardo Pereyra,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,12/5/1931,Se Fue La Pobre Viejita,Tango,Instrumental,Brunswick,78rpm,Agustín Magaldi; Pedro Noda,Enrique Cadícamo,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,12/5/1931,Yo Tan Sólo Veinte Años Tenía,Vals,Instrumental,Brunswick,78rpm,Julio César Alberto Sanders,Enrique Cadícamo,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,12/24/1931,Sin Un Adiós,Tango,Teófilo Ibáñez,Brunswick,78rpm,J. Navarrete,Francisco Antonio Lio,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,1/7/1932,Mil Novecientos,Tango,Teófilo Ibáñez,Brunswick,78rpm,Edgardo Donato,Luis César Amadori,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,1/17/1932,Mariposita Inquieta,Vals,Teófilo Ibáñez,Brunswick,78rpm,A. Casas,Ismael Roberto Ricardo,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/19/1932,Sin Cariño,Tango,Instrumental,Brunswick,78rpm,Francisco Cosco,,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/20/1932,La Vuelta Del Malevo,Tango,Teófilo Ibáñez,Brunswick,78rpm,Felipe Mitre Navas,Felipe Mitre Navas,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/4/1932,Pobre Yo,Tango,Teófilo Ibáñez,Brunswick,78rpm,César Petrone,César Petrone,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/9/1932,Cenizas De Amor,Vals,Luis Díaz,Brunswick,78rpm,P. Vivone; T. Requena,P. Vivone; T. Requena,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/4/1932,La muerte de Milonguita,Tango,Teófilo Ibáñez,Brunswick,78rpm,Francisco Canaro,Héctor Bonatti,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/9/1932,Perdonalo Señor,Tango,Instrumental,Brunswick,78rpm,J. Pérez Ruíz,,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/9/1932,Porqué Sos Así,Tango,Instrumental,Brunswick,78rpm,Edgardo Donato,Alfredo Bigeschi,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/18/1932,Tardes Porteñas,Tango,Luis Díaz,Brunswick,78rpm,Miguel Bonano,Alfredo Bigeschi,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/30/1932,Evocación,Tango,Instrumental,Brunswick,78rpm,Osvaldo Donato,,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
