Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,11/6/1945,Galleguita,Tango,Roberto Chanel,Odeón,78rpm,Horacio Pettorossi,Alfredo Navarrine,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,12/3/1945,Dandy,Tango,Roberto Chanel,Odeón,78rpm,Lucio Demare,Agustín Irusta; Roberto Fugazot,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,12/3/1945,Por Qué No Has Venido?,Tango,Alberto Morán,Odeón,78rpm,Pedro Maffia,Julio Navarrine,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,12/18/1945,Tiny,Tango,Instrumental,Odeón,78rpm,Pedro Maffia; Julio Caro,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,12/18/1945,Hoy Al Recordarla,Tango,Alberto Morán,Odeón,78rpm,José Canet,José Canet,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,2/27/1946,Consejo De Oro,Tango,Roberto Chanel,Odeón,78rpm,Francisco Tróppoli,Agustín Delamónica,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,2/27/1946,Demasiado Tarde,Tango,Alberto Morán,Odeón,78rpm,Francisco Tróppoli,Agustín Delamónica,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,3/28/1946,Fuimos,Tango,Roberto Chanel,Odeón,78rpm,José Dames,Homero Manzi,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,3/28/1946,Príncipe,Tango,Alberto Morán,Odeón,78rpm,Anselmo Aieta; Rafael Tuegols,Francisco Jiménez,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,5/27/1946,Dos Ojos Tristes,Tango,Alberto Morán,Odeón,78rpm,Oscar Fuente,Luis Rubistein,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
