Orchestra,Date,Title,Genre,Singer,Label,Masters,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,,,
Miguel Caló,11/29/1943,Gime El Viento,Tango,Raúl Iriarte,Odeón,78rpm,Atilio Bruni,Oscar Rubistein,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,12/27/1943,Elegante Papirusa,Tango,Instrumental,Odeón,78rpm,David Roccatagliata,Sandalio Gómez,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,12/27/1943,Marión,Tango,Raúl Iriarte,Odeón,78rpm,Luis Rubistein,Luis Rubistein,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,1/10/1944,Después,Tango,Raúl Iriarte,Odeón,78rpm,Hugo Gutiérrez,Homero Manzi,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,1/28/1944,Orquestas De Mi Ciudad,Tango,Raúl Iriarte,Odeón,78rpm,Francisco Fiorentino,Avlis Cabrera,,Estrellas - Federico (1943-45,Osmar Maderna,Armando Caló,"Armando Pontier, Eduardo Rovira, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas, Mario Lalli (viola",,,
Miguel Caló,1/28/1944,Si Yo Pudiera Comprender,Tango,Raúl Iriarte,Odeón,78rpm,Miguel Caló,Oscar Valdez,,Estrellas - Federico (1943-45,Osmar Maderna,Armando Caló,"Armando Pontier, Eduardo Rovira, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas, Mario Lalli (viola",,,
Miguel Caló,3/9/1944,El Desafío,Milonga,Raúl Iriarte,Odeón,78rpm,René Ruiz,Charrúa Márquez,,Estrellas - Federico (1943-45,Osmar Maderna,Armando Caló,"Armando Pontier, Eduardo Rovira, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas, Mario Lalli (viola",,,
Miguel Caló,3/9/1944,Nada,Tango,Raúl Iriarte,Odeón,78rpm,José Dames,Horacio Basterra,,Estrellas - Federico (1943-45,Osmar Maderna,Armando Caló,"Armando Pontier, Eduardo Rovira, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas, Mario Lalli (viola",,,
Miguel Caló,4/19/1944,Bohardilla,Tango,Raúl Iriarte,Odeón,78rpm,Rodolfo Blasi,Horacio Basterra,,Estrellas - Federico (1943-45,Osmar Maderna,Armando Caló,"Armando Pontier, Eduardo Rovira, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas, Mario Lalli (viola",,,
Miguel Caló,4/19/1944,La Vi Llegar,Tango,Raúl Iriarte,Odeón,78rpm,Enrique Francini,Julián Centeya,,Estrellas - Federico (1943-45,Osmar Maderna,Armando Caló,"Armando Pontier, Eduardo Rovira, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas, Mario Lalli (viola",,,
