Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Juan D'Arienzo,12/23/1958,Bonanza,Vals,Mario Bustos,Víctor,Tape,Armando Giannelli,José Ortega,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/23/1958,Hasta Siempre Amor,Tango,Jorge Valdez,Víctor,Tape,Donato Racciatti,Federico Silva,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/23/1958,Más Grande Que Nunca,Tango,Instrumental,Víctor,Tape,Carlos Alessio,,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/23/1958,Por Tu Culpa Te Perdi,Tango,Jorge Valdez,Víctor,Tape,Carlos Lázzari,Odín Fleitas,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/15/1959,Casita De Nácar,Tango,Jorge Valdez,Víctor,Tape,Jorge Dragone,Ángel Gatti,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/15/1959,Dáme Mi Libertad,Tango,Jorge Valdez,Víctor,Tape,Manuel Sucher,Carlos Bahr,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/15/1959,La Bruja,Tango,Mario Bustos,Víctor,Tape,Juan Polito,Francisco Gorrindo,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/15/1959,La Negra Bozán,Tango,Mario Bustos,Víctor,Tape,Pablo Hechim,Pablo Hechim,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1959,Calandria Triste,Vals,Jorge Valdez,Víctor,Tape,Cayetano Puglisi,Reinaldo Yiso,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1959,Con Alma De Tango,Tango,Instrumental,Víctor,Tape,Juan D'Arienzo,Carlos Waiss,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
