Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,11/4/1942,Cuatro Compases,Tango,Alberto Castillo,Víctor,78rpm,Atilio Bruni,Oscar Rubens,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,11/4/1942,Recuerdo,Tango,Instrumental,Víctor,78rpm,Osvaldo Pugliese,Eduardo Moreno,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,12/4/1942,Así Se Baila El Tango,Tango,Alberto Castillo,Víctor,78rpm,Elías Randal,Elizardo Vilas,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,12/4/1942,Canción De Rango,Tango,Alberto Castillo,Víctor,78rpm,Raúl Kaplún,José Suñé,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,12/4/1942,Moneda De Cobre,Tango,Alberto Castillo,Víctor,78rpm,Carlos Viván,Horacio Sanguinetti,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,12/4/1942,Me Llaman El Zorro,Tango,Alberto Castillo,Víctor,78rpm,Mario Perini,Roberto Lambertucci,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,3/2/1943,Que Podrán Decir,Tango,Alberto Castillo,Víctor,78rpm,Vicente Salerno,Alfredo Bigeschi,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,3/2/1943,A Otra Cosa Che Pebeta,Tango,Alberto Castillo,Víctor,78rpm,Ricardo Tanturi,Enrique Cadícamo,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,3/2/1943,Con Los Amigos,Vals,Alberto Castillo,Víctor,78rpm,Carlos Gardel; José Razzano,Carlos Gardel; José Razzano,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,3/2/1943,Entre Sueños,Tango,Instrumental,Víctor,78rpm,Anselmo Aieta; Juan Polito,Francisco Jiménez,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,3/16/1943,Ya Sale El Tren,Tango,Alberto Castillo,Víctor,78rpm,Luis Rubistein,Luis Rubistein,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,3/16/1943,Mi Piba,Tango,Alberto Castillo,Víctor,78rpm,Rodolfo Sciammarella,Manuel Romero,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,4/29/1943,La Última Copa,Tango,Alberto Castillo,Víctor,78rpm,Francisco Canaro,Juan Caruso,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
